[16:21:26] [[738,0,1,5,1,5,0,0,0,2,6,45.0106,-90.0007,89.9942,-89.9801,-89.9969,0.011673,3,6,-347.308,-553.377,206.48,0.0133902,-0.00308718,-45.001,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[739,0,1,5,1,5,0,0,0,2,6,45.0137,-90.0024,89.9955,-89.9811,-89.9949,0.011673,3,6,-347.267,-553.403,206.489,0.0120173,-0.00514739,-44.9979,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[740,0,1,5,1,5,0,0,0,2,6,45.0137,-90.0024,89.9955,-89.9811,-89.9949,0.011673,3,6,-347.267,-553.403,206.489,0.0120173,-0.00514739,-44.9979,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[741,0,1,5,1,5,0,0,0,2,6,45.0117,-90.0021,89.9949,-89.9818,-89.9962,0.00926971,3,6,-347.296,-553.395,206.496,0.0109869,-0.00377477,-44.9976,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[742,0,1,5,1,5,0,0,0,2,6,45.0117,-90.0021,89.9949,-89.9818,-89.9962,0.00926971,3,6,-347.296,-553.395,206.496,0.0109869,-0.00377477,-44.9976,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[743,0,1,5,1,5,0,0,0,2,6,45.0093,-90.0003,89.9973,-89.9808,-89.9952,0.00892639,3,6,-347.299,-553.37,206.445,0.0161369,-0.004804,-44.9997,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[744,0,1,5,1,5,0,0,0,2,6,45.0093,-90.0003,89.9973,-89.9808,-89.9952,0.00892639,3,6,-347.299,-553.37,206.445,0.0161369,-0.004804,-44.9997,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[745,0,1,5,1,5,0,0,0,2,6,45.0113,-90.0003,89.9959,-89.9815,-89.9955,0.0109863,3,6,-347.293,-553.388,206.464,0.0140771,-0.0044605,-44.9997,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[746,0,1,5,1,5,0,0,0,2,6,45.0113,-90.0003,89.9959,-89.9815,-89.9955,0.0109863,3,6,-347.293,-553.388,206.464,0.0140771,-0.0044605,-44.9997,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[747,0,1,5,1,5,0,0,0,2,6,45.0127,-90.0017,89.9955,-89.9808,-89.9959,0.00961304,3,6,-347.277,-553.394,206.48,0.013047,-0.00411768,-44.9969,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
